region_id,month,gini_index,unemployment_rate,inflation_rate,media_sentiment_index,rainfall_deviation,policy_instability_index,prior_unrest_count,population_density,food_price_index,fuel_subsidy_cut,gov_approval,neighbor_unrest_prev,unrest_event
R1,2023-01-01,0.537,9.69,1.33,0.372,1.8,2,0.0,108.9,103.7,0,0.0,0,1
R2,2023-01-01,0.588,5.67,2.81,-0.307,1.14,0,0.0,325.2,103.5,0,0.0,0,0
R3,2023-01-01,0.57,10.78,0.86,-0.081,1.46,0,0.0,69.6,106.4,0,0.0,0,0
R4,2023-01-01,0.394,10.28,4.83,0.47,0.57,0,0.0,340.0,103.6,0,0.15,0,0
R5,2023-01-01,0.422,12.73,2.98,-0.06,0.04,0,0.0,390.0,105.4,0,0.0,0,1
R6,2023-01-01,0.568,14.61,3.28,0.338,-1.07,0,0.0,492.0,105.1,0,0.0,0,0
R7,2023-01-01,0.468,15.18,1.71,0.035,1.95,2,0.0,197.0,107.3,0,0.0,0,0
R8,2023-01-01,0.462,4.84,2.43,-0.34,-1.75,1,0.0,499.3,112.7,0,0.3,0,0
R9,2023-01-01,0.449,15.95,3.65,0.14,0.57,0,0.0,410.7,92.2,0,0.0,0,1
R10,2023-01-01,0.437,13.03,3.98,-0.637,-0.46,0,0.0,171.9,108.3,0,0.0,0,1
R11,2023-01-01,0.519,9.55,3.31,-0.358,0.51,0,0.0,157.2,108.2,0,0.0,0,0
R12,2023-01-01,0.555,7.17,1.84,0.047,0.51,1,0.0,139.8,96.8,0,0.0,0,0
R13,2023-01-01,0.538,7.95,1.98,0.258,-1.18,3,0.0,272.2,108.5,0,0.0,0,1
R14,2023-01-01,0.437,6.33,3.89,-0.07,0.36,0,0.0,322.0,98.3,0,0.33,0,0
R15,2023-01-01,0.467,10.18,4.36,0.399,-0.05,1,0.0,137.8,106.8,0,0.0,0,0
R16,2023-01-01,0.586,13.92,3.19,0.673,0.8,0,0.0,221.6,97.2,0,0.0,0,0
R17,2023-01-01,0.393,6.78,3.26,0.1,-0.27,0,0.0,167.0,99.2,0,0.32,0,0
R18,2023-01-01,0.44,13.62,2.76,0.292,0.79,1,0.0,292.1,102.6,0,0.0,0,0
R19,2023-01-01,0.503,10.48,4.24,-0.353,-0.76,0,0.0,389.8,96.2,0,0.0,0,0
R20,2023-01-01,0.558,8.7,2.1,0.288,-0.17,0,0.0,442.0,99.9,0,0.0,0,0
R21,2023-01-01,0.481,5.17,1.37,0.217,0.36,1,0.0,317.9,104.6,0,0.2,0,0
R22,2023-01-01,0.319,10.76,2.1,-0.165,-0.97,0,0.0,164.8,109.7,1,0.0,0,0
R23,2023-01-01,0.407,11.67,2.85,0.523,0.69,0,0.0,329.8,104.2,0,0.0,0,0
R24,2023-01-01,0.555,14.66,0.09,-0.283,0.53,0,0.0,491.6,106.2,0,0.0,0,0
R25,2023-01-01,0.342,9.2,4.07,0.625,0.46,2,0.0,142.5,110.1,0,0.0,0,0
R26,2023-01-01,0.342,5.57,2.86,0.297,-1.67,3,0.0,275.5,100.3,0,0.0,0,0
R27,2023-01-01,0.323,10.54,1.71,-0.507,0.19,0,0.0,122.9,105.0,0,0.2,0,0
R28,2023-01-01,0.433,16.74,2.94,0.003,-0.77,0,0.0,77.0,108.4,0,0.0,0,0
R29,2023-01-01,0.433,8.06,3.65,0.515,-2.51,2,0.0,345.9,110.5,0,0.02,0,0
R30,2023-01-01,0.508,12.82,2.56,-0.492,0.63,0,0.0,169.7,100.4,0,0.0,0,0
R31,2023-01-01,0.333,14.28,3.86,0.117,0.66,0,0.0,449.7,112.2,0,0.01,0,0
R32,2023-01-01,0.293,11.56,2.61,-0.137,-0.94,2,0.0,68.6,109.4,0,0.0,0,1
R33,2023-01-01,0.429,14.92,1.29,-0.285,-0.24,3,0.0,248.7,112.1,0,0.0,0,0
R34,2023-01-01,0.538,5.89,2.06,0.181,0.25,1,0.0,310.7,103.5,0,0.0,0,0
R35,2023-01-01,0.356,8.19,3.18,-0.382,0.57,2,0.0,384.1,104.1,0,0.08,0,0
R36,2023-01-01,0.485,11.63,4.0,0.169,-0.95,2,0.0,149.4,109.7,0,0.0,0,0
R37,2023-01-01,0.558,5.59,1.08,-0.21,0.05,0,0.0,365.2,106.9,0,0.21,0,0
R38,2023-01-01,0.568,12.39,2.86,-0.493,0.39,0,0.0,495.0,93.8,0,0.0,0,0
R39,2023-01-01,0.388,12.91,4.0,-0.566,0.68,0,0.0,189.1,102.4,0,0.0,0,0
R40,2023-01-01,0.302,12.22,1.07,0.021,-0.75,1,0.0,353.6,96.1,0,0.0,0,0
R41,2023-01-01,0.577,12.16,1.97,0.136,-0.54,0,0.0,126.7,108.8,0,0.0,0,0
R42,2023-01-01,0.409,8.78,2.31,0.566,-0.32,0,0.0,387.2,97.7,0,0.38,0,0
R43,2023-01-01,0.536,12.84,2.8,-0.077,-1.49,0,0.0,109.5,108.9,0,0.0,0,0
R44,2023-01-01,0.528,11.0,4.03,-0.319,-2.31,0,0.0,53.5,100.4,0,0.0,0,0
R45,2023-01-01,0.546,9.81,2.78,-1.0,-0.4,2,0.0,330.3,100.2,0,0.0,0,0
R46,2023-01-01,0.599,14.92,2.89,0.228,-0.47,0,0.0,410.4,104.1,0,0.0,0,0
R47,2023-01-01,0.467,7.95,2.65,-0.559,-2.0,0,0.0,71.0,109.2,0,0.24,0,0
R48,2023-01-01,0.29,8.63,4.16,-0.238,-0.61,0,0.0,219.8,101.9,0,0.23,0,0
R49,2023-01-01,0.28,10.95,2.46,-0.248,-0.55,3,0.0,317.0,106.3,0,0.0,0,1
R50,2023-01-01,0.463,12.01,0.38,0.325,0.43,0,0.0,357.0,95.8,0,0.0,0,0
R1,2023-02-01,0.556,9.14,2.21,-0.407,-1.39,0,1.0,274.6,117.9,0,0.0,1,0
R2,2023-02-01,0.546,6.68,2.12,-0.036,0.38,2,0.0,456.3,112.0,0,0.0,0,0
